Source,Destination IP,Packet Length
Motog Phone,52.46.158.193,493011
Nestcam,35.232.242.251,129640854
Echo plus 2nd gen,52.94.233.109,258895
Motog Phone,52.119.168.148,969807
Echo plus 2nd gen,52.119.196.87,64468
Motog Phone,176.32.101.90,264028
Google onHub,172.217.7.202,12629032
Samsung Smartthings hub2,3.12.29.221,18162078
Motog Phone,172.217.9.194,134385
Desktop (server),152.1.224.120,204115
Desktop (server),152.1.224.121,1915
Desktop (server),152.1.224.122,192323
Desktop (server),152.1.224.188,201105
Desktop (server),152.1.1.56,190713
Desktop (server),152.1.1.57,1845
Desktop (server),152.1.224.105,203905
Desktop (server),152.1.224.101,192323
Desktop (server),152.1.224.104,1845
Desktop (server),152.1.224.106,1915
Desktop (server),152.1.224.107,1845
Motog Phone,52.46.145.86,7593358
Motog Phone,52.94.226.38,120318
Motog Phone,52.46.145.179,1066164
Motog Phone,34.231.95.236,83580
Echo Look,52.119.196.87,270807
Google onHub,172.253.122.188,5032213
Echo plus 2nd gen,52.216.237.91,540
Echo plus 2nd gen,54.85.185.88,66030
Router,192.168.1.125,1949679
Echo plus 2nd gen,52.216.113.163,1079
Echo plus 2nd gen,3.215.127.169,88062
Smartwifiplug,52.38.63.250,1581025
Google onHub,52.38.63.250,1724127
Desktop (server),152.1.15.28,170190
Router,192.168.1.135,1160089327
Router,192.168.1.134,200973
Echo Look,52.119.196.66,298374
Echo Look,52.46.134.186,325911
Echo Look,52.119.197.96,364123
Google onHub,172.217.15.106,16940077
Motog Phone,54.239.29.0,149186
Desktop (server),152.1.15.27,939510
Router,192.168.1.249,3769314
Motog Phone,99.84.184.36,422501
Motog Phone,172.217.164.142,156712
Motog Phone,13.249.43.103,96384
Ring Door bell,8.8.8.8,2175606
Smartwifiplug,34.215.132.211,1584719
Google onHub,34.215.132.211,1727995
Router,192.168.1.163,3793308
Samsung Smartthings hub2,18.208.86.167,2394038
Motog Phone,34.226.4.204,5466
Motog Phone,52.46.130.13,150509
Echo plus 2nd gen,52.20.128.185,551925
Motog Phone,172.217.164.138,1026840
Motog Phone,172.217.15.74,1066736
Motog Phone,172.253.63.188,206948
Samsung Smartthings hub2,52.72.134.33,2491707
Samsung Smartthings hub2,18.204.110.226,2494687
Motog Phone,172.217.7.138,622019
Motog Phone,172.217.7.193,307
Motog Phone,172.217.13.74,1105933
Motog Phone,172.217.8.22,160412
Motog Phone,52.46.129.41,1006494
Motog Phone,172.217.164.162,115155
Samsung Smartthings hub2,54.175.106.187,2425730
Motog Phone,52.46.132.96,847309
Echo plus 2nd gen,52.217.8.60,4345
Echo plus 2nd gen,34.231.108.120,69768
Samsung Smartthings hub2,52.70.101.239,1038676
Echo plus 2nd gen,13.249.34.222,167761
Samsung Smartthings hub2,34.224.111.88,2344346
Google onHub,8.8.8.8,1151905
Google onHub,172.217.15.74,19744838
Samsung Smartthings hub2,52.6.178.180,2435206
Echo plus 2nd gen,52.94.231.48,232107
Motog Phone,52.94.231.48,586783
Echo plus 2nd gen,52.94.227.146,6652000
Samsung Smartthings hub2,52.6.36.6,2505093
Desktop (server),152.1.226.211,471728
Desktop (server),152.1.226.213,448936
Desktop (server),224.0.0.251,58699
Echo plus 2nd gen,52.216.9.115,2158
Echo plus 2nd gen,34.197.181.220,78336
Samsung Smartthings hub2,34.226.31.147,2359427
Samsung Smartthings hub2,34.231.7.113,1065287
Motog Phone,172.217.9.202,1029307
Motog Phone,172.217.15.106,1082727
Motog Phone,52.46.133.39,756302
Echo plus 2nd gen,99.84.178.216,175604
Echo plus 2nd gen,52.46.141.108,217201
Desktop (server),152.1.15.140,127980
Echo plus 2nd gen,52.46.144.154,93595
Echo plus 2nd gen,52.119.164.214,24045
Echo plus 2nd gen,52.119.196.28,12816
Echo plus 2nd gen,52.216.110.227,2158
Echo plus 2nd gen,34.226.97.120,97920
Google onHub,172.217.7.170,13286443
Motog Phone,54.239.18.122,859553
Echo Look,54.239.29.142,38335
Echo Look,52.94.235.50,446288
Samsung Smartthings hub2,18.235.36.23,1027871
Motog Phone,172.217.197.139,2667
Echo plus 2nd gen,52.217.12.124,2158
Echo plus 2nd gen,52.94.241.146,24630
Echo plus 2nd gen,52.85.151.179,143664
Echo plus 2nd gen,54.239.26.210,5900169
Desktop (server),152.1.226.215,444594
Echo Look,224.0.0.251,755450
Echo plus 2nd gen,54.231.114.82,1079
Echo plus 2nd gen,52.1.44.7,78052
Echo Look,52.46.156.47,983186
Echo Look,52.94.228.225,239971
Google onHub,172.217.12.234,17807861
Motog Phone,52.94.228.225,1145929
Motog Phone,216.239.35.8,1620
Motog Phone,52.71.161.254,38386
Motog Phone,35.196.141.223,90961
Echo plus 2nd gen,52.216.168.19,1079
Motog Phone,172.217.12.234,974143
Motog Phone,172.217.164.150,338579
Motog Phone,172.217.164.130,149374
Motog Phone,239.255.255.250,838378
Motog Phone,172.217.8.2,100089
Echo Look,52.94.229.215,794437
Echo plus 2nd gen,52.46.145.58,215424
Echo plus 2nd gen,52.216.112.99,1079
Echo plus 2nd gen,34.193.186.95,75228
Samsung Smartthings hub2,34.199.71.6,1041780
Google onHub,172.217.8.10,16622383
Echo plus 2nd gen,54.239.18.122,11491399
Echo plus 2nd gen,52.216.143.156,1079
Echo plus 2nd gen,54.145.141.161,64806
Google onHub,172.217.7.142,29949
Echo plus 2nd gen,52.217.45.12,1079
Echo plus 2nd gen,34.196.128.149,70126
Motog Phone,52.46.145.58,756066
Desktop (server),152.1.0.82,43840767
Desktop (server),152.1.0.81,38771144
Echo plus 2nd gen,52.216.98.123,1079
Echo plus 2nd gen,52.46.133.39,516385
Desktop (server),152.1.226.212,565745
Motog Phone,172.217.13.234,1042086
Echo plus 2nd gen,52.217.15.4,1079
Google onHub,172.217.13.74,17741637
Motog Phone,52.94.227.120,1004887
Echo Look,52.119.197.108,237018
Echo Look,176.32.103.58,341352
Echo plus 2nd gen,176.32.101.52,90976
Motog Phone,52.94.241.146,530001
Motog Phone,52.94.236.25,123445
Motog Phone,54.239.26.255,163498
Motog Phone,52.94.236.194,277943
Motog Phone,52.119.164.214,954676
Motog Phone,172.217.15.67,806042
Motog Phone,52.94.232.32,207125
Motog Phone,50.16.183.58,4938
Motog Phone,34.236.234.56,51439
Motog Phone,18.207.63.160,65043
Motog Phone,52.46.128.105,756505
Motog Phone,54.239.21.246,337860
Echo plus 2nd gen,52.216.10.83,1079
Echo plus 2nd gen,52.5.115.78,89088
Motog Phone,13.249.38.51,365535
Motog Phone,172.217.8.14,212765
Motog Phone,50.17.96.234,11025
Motog Phone,52.85.148.81,4875
Echo plus 2nd gen,52.216.177.91,1079
Echo plus 2nd gen,52.71.3.127,85680
Google onHub,172.217.164.138,19569297
Echo plus 2nd gen,52.46.159.66,275412
Motog Phone,52.46.159.66,993855
Motog Phone,52.94.228.52,868582
Samsung Smartthings hub2,3.209.38.230,1052521
Echo plus 2nd gen,52.216.141.228,1079
Echo plus 2nd gen,52.94.235.50,212888
Router,192.168.1.154,21085
Motog Phone,172.217.164.173,642976
Motog Phone,172.217.13.68,1171522
Motog Phone,172.217.8.10,746789
Echo plus 2nd gen,52.216.27.52,1079
Google onHub,172.217.9.202,20756291
Motog Phone,52.94.225.227,1092580
Echo plus 2nd gen,52.216.95.139,1079
Echo plus 2nd gen,3.215.67.150,75888
Echo plus 2nd gen,54.239.29.142,24630
Echo plus 2nd gen,52.94.234.195,5767216
Desktop (server),152.1.226.214,514537
Echo Look,54.239.31.37,479532
Echo plus 2nd gen,52.216.225.128,1079
Echo plus 2nd gen,34.231.99.50,84456
Echo plus 2nd gen,52.94.228.225,188892
Echo Look,54.239.25.214,188330
Echo plus 2nd gen,52.216.250.68,1079
Motog Phone,35.245.250.220,63012
Echo plus 2nd gen,52.216.207.115,1079
Echo plus 2nd gen,52.46.159.73,173372
Motog Phone,52.46.159.73,841082
Echo Look,52.94.240.157,234215
Echo plus 2nd gen,52.217.14.188,1079
Echo plus 2nd gen,52.203.35.44,75888
Echo plus 2nd gen,52.216.142.36,2158
Echo plus 2nd gen,3.209.67.123,73440
Motog Phone,52.94.229.76,839287
Echo plus 2nd gen,52.216.77.100,1079
Echo plus 2nd gen,52.94.229.215,5772044
Echo plus 2nd gen,52.216.176.147,1079
Google onHub,172.217.13.234,16594782
Motog Phone,52.94.234.195,1103775
Echo plus 2nd gen,72.21.207.190,136325
Echo plus 2nd gen,52.216.88.171,1079
Echo plus 2nd gen,52.216.139.139,2158
Echo Look,52.94.227.146,608366
Echo plus 2nd gen,52.46.145.172,3850998
Motog Phone,52.46.145.172,990770
Motog Phone,54.239.17.112,186944
Motog Phone,54.173.45.222,4796
Motog Phone,18.206.75.82,66376
Motog Phone,52.46.156.128,2153377
Motog Phone,54.192.38.196,31377
Motog Phone,54.239.24.152,285719
Motog Phone,54.192.31.164,378406
Motog Phone,34.204.57.181,12232
Motog Phone,13.249.43.14,84846
Echo plus 2nd gen,52.217.8.244,2158
Echo plus 2nd gen,52.46.132.96,183544
Motog Phone,54.239.31.37,838190
Echo plus 2nd gen,52.216.90.68,1079
Echo plus 2nd gen,54.209.86.184,64872
Google onHub,172.217.164.142,230175
Motog Phone,52.94.233.253,920888
Echo Look,52.94.228.85,194584
Echo Look,176.32.102.180,313156
Echo plus 2nd gen,52.216.80.248,3237
Echo plus 2nd gen,52.46.144.134,22454
Echo plus 2nd gen,52.94.243.173,301932
Echo Look,52.94.231.48,166033
Echo plus 2nd gen,52.216.207.155,1079
Motog Phone,52.94.232.206,905631
Echo Look,52.94.227.120,1180129
Echo plus 2nd gen,52.216.90.100,2158
Motog Phone,172.217.15.66,131626
Motog Phone,172.217.12.226,143913
Echo plus 2nd gen,52.217.39.196,10544
Motog Phone,172.217.164.170,934471
Motog Phone,72.21.207.87,997875
Echo plus 2nd gen,205.251.243.55,78175
Echo plus 2nd gen,52.216.205.35,1079
Echo plus 2nd gen,52.217.13.20,1079
Ring Door bell,52.1.10.91,11673
Google onHub,52.1.10.91,12105
Ring Door bell,107.170.29.136,90
Google onHub,107.170.29.136,90
Echo plus 2nd gen,52.216.89.196,1079
Echo plus 2nd gen,52.20.181.239,63648
Echo plus 2nd gen,52.119.197.116,441915
Echo Look,52.94.232.230,342303
Echo plus 2nd gen,52.94.232.206,5885780
Echo plus 2nd gen,54.231.120.203,1079
Google onHub,172.217.7.138,11216373
Echo plus 2nd gen,239.255.255.250,36828
Echo plus 2nd gen,54.239.19.125,162839
Echo plus 2nd gen,52.216.233.35,1079
Echo plus 2nd gen,52.217.41.60,2158
Google onHub,172.217.164.170,21708282
Motog Phone,52.119.196.25,464013
Motog Phone,52.46.141.108,692018
Motog Phone,52.46.132.23,2866865
Motog Phone,3.234.120.227,61911
Motog Phone,34.204.147.12,9751
Motog Phone,3.95.89.5,65230
Motog Phone,52.94.233.167,231472
Motog Phone,176.32.99.150,214102
Motog Phone,172.217.12.238,153055
Motog Phone,34.237.169.73,7166
Motog Phone,52.85.148.37,4719
Echo plus 2nd gen,52.216.176.35,1079
Echo Look,52.94.241.146,45220
Echo plus 2nd gen,52.217.41.44,2158
Echo plus 2nd gen,52.217.47.60,1079
Motog Phone,52.94.243.171,968271
Smartwifiplug,54.69.35.114,5105
Google onHub,54.69.35.114,5265
Motog Phone,54.239.25.214,638845
Motog Phone,172.217.15.69,97505
Echo Look,52.46.132.96,898066
Echo plus 2nd gen,52.216.233.203,1079
Motog Phone,172.217.164.133,268651
Motog Phone,172.217.7.194,102087
Motog Phone,172.217.13.227,806122
Echo plus 2nd gen,52.216.206.99,3237
Ring Door bell,52.73.64.198,4140
Google onHub,52.73.64.198,4272
Ring Door bell,3.233.102.145,3073591
Google onHub,3.233.102.145,3073703
Motog Phone,52.94.231.28,4446647
Motog Phone,52.46.144.134,660432
Motog Phone,99.84.191.48,2220
Motog Phone,104.17.127.1,153043
Motog Phone,216.239.35.4,720
Motog Phone,130.211.5.107,137124
Motog Phone,172.217.13.232,8082
Motog Phone,172.217.15.110,405103
Ring Door bell,104.17.127.1,3645998
Google onHub,104.17.127.1,3647062
Motog Phone,52.94.236.223,1354025
Echo plus 2nd gen,52.217.47.180,1079
Ring Door bell,3.233.97.188,4073421
Google onHub,3.233.97.188,4073529
Ring Door bell,3.233.102.33,4026835
Google onHub,3.233.102.33,4026943
Echo plus 2nd gen,13.249.43.59,1691
Echo plus 2nd gen,52.217.1.52,1079
