Source,Destination IP,Volume,Destination Domain,Destination Latitude,Destination Longitude
Nestcam,35.232.242.251,129651062,bc.googleusercontent.com,41.23295975,-95.87735748
Google onHub,172.217.7.202,216844082,1e100.net,38.98371887,-77.38275909
Samsung Smartthings hub2,3.12.29.221,24141096,compute.amazonaws.net,39.99557877,-82.99945831
Motog Phone,172.217.9.194,23231149,1e100.net,38.98371887,-77.38275909
Desktop (server),152.1.224.188,4360920,unity.ncsu.edu,35.73759079,-78.72119141
Motog Phone,34.231.95.236,15222924,compute.amazonaws.net,39.04370117,-77.47419739
Echo plus 2nd gen,52.216.237.91,11204688,amazonaws.com,39.04370117,-77.47419739
Smartwifiplug,52.38.63.250,3204019,compute.amazonaws.net,45.73722839,-119.8114319
Google onHub,52.38.63.250,3757633,compute.amazonaws.net,45.73722839,-119.8114319
Motog Phone,99.84.184.36,8063639,r.cloudfront.net,38.9068985,-77.02839661
Ring Door bell,8.8.8.8,2175606,dns.google,37.38801956,-122.0743103
Samsung Smartthings hub2,18.208.86.167,24676369,compute.amazonaws.net,39.04370117,-77.47419739
Echo plus 2nd gen,13.249.34.222,2072074,r.cloudfront.net,38.9068985,-77.02839661
Google onHub,8.8.8.8,1151905,dns.google,37.38801956,-122.0743103
Motog Phone,216.239.35.8,1620,time3.google.com,37.41915894,-122.0754089
Motog Phone,35.196.141.223,90961,bc.googleusercontent.com,32.8900795,-80.05893707
Desktop (server),152.1.0.81,38771144,eos.ncsu.edu,35.73759079,-78.72119141
Motog Phone,35.245.250.220,63012,bc.googleusercontent.com,38.9068985,-77.02839661
Ring Door bell,52.1.10.91,287676838,compute.amazonaws.net,39.04370117,-77.47419739
Google onHub,52.1.10.91,285738369,compute.amazonaws.net,39.04370117,-77.47419739
Ring Door bell,107.170.29.136,90,booboo.raggedstaff.net,40.75891113,-73.97901917
Google onHub,107.170.29.136,90,booboo.raggedstaff.net,40.75891113,-73.97901917
Motog Phone,216.239.35.4,720,time2.google.com,37.41915894,-122.0754089
Motog Phone,130.211.5.107,433013,bc.googleusercontent.com,39.10771179,-94.53961182
Ring Door bell,96.245.170.99,90,B1-66ER.matrix.gs,39.99266815,-75.14150238
Google onHub,96.245.170.99,90,B1-66ER.matrix.gs,39.99266815,-75.14150238
Motog Phone,72.21.206.140,150895,amazon.com,39.04370117,-77.47419739
Echo plus 2nd gen,35.186.218.191,17902,bc.googleusercontent.com,39.10771179,-94.53961182
Echo plus 2nd gen,13.226.143.179,2169,r.cloudfront.net,41.84885025,-87.67124939
Motog Phone,72.21.206.56,1213113,amazon.com,39.04370117,-77.47419739
Echo Look,99.84.181.95,3930121,r.cloudfront.net,38.9068985,-77.02839661
Desktop (server),91.189.91.38,33608,banjo.canonical.com,51.45777893,-0.085560001
Desktop (server),91.189.95.83,16970,haetae.canonical.com,51.45777893,-0.085560001
Desktop (server),99.84.181.56,935755,r.cloudfront.net,38.9068985,-77.02839661
Desktop (server),172.217.15.78,4822367,1e100.net,38.98371887,-77.38275909
Desktop (server),91.189.91.39,164654,kazooie.canonical.com,51.45777893,-0.085560001
Desktop (server),104.236.0.104,12000,download.sublimetext.com,40.75891113,-73.97901917
Desktop (server),91.189.92.20,71816,api.snapcraft.io,51.45777893,-0.085560001
Desktop (server),91.189.92.17,69870,dashboard.snapcraft.io,51.45777893,-0.085560001
Motog Phone,216.239.35.12,1800,time4.google.com,37.41915894,-122.0754089
Desktop (server),51.15.67.4,779720,instances.scw.cloud,52.30905151,4.940189838
Desktop (server),8.43.85.14,22133,oscp-router02.gnome.org,35.77521133,-78.63432312
Motog Phone,104.70.71.76,52667,akamaitechnologies.com,39.04370117,-77.47419739
Desktop (server),34.249.145.219,33803,compute.amazonaws.net,53.35388947,-6.243330002
Motog Phone,35.193.104.166,101598,bc.googleusercontent.com,41.23295975,-95.87735748
Echo Look,107.175.144.206,90,zinc.frizzen.net,42.90758133,-78.81912994
Echo plus 2nd gen,138.236.128.36,180,four10.gac.edu,44.35557938,-94.08920288
Motog Phone,54.176.221.190,281166,compute.amazonaws.net,37.33052826,-121.8382263
Motog Phone,31.13.66.4,60690,facebook.com,38.98371887,-77.38275909
Ring Door bell,208.79.89.249,90,zeit.arpnetworks.com,34.06459045,-118.3813705
Google onHub,208.79.89.249,90,zeit.arpnetworks.com,34.06459045,-118.3813705
Desktop (server),91.189.88.152,587217,actiontoad.canonical.com,51.45777893,-0.085560001
Desktop (server),91.189.92.19,2770,api.snapcraft.io,51.45777893,-0.085560001
Desktop (server),91.189.92.18,48228,dashboard.snapcraft.io,51.45777893,-0.085560001
Desktop (server),91.189.88.142,353793,aerodent.canonical.com,51.45777893,-0.085560001
Desktop (server),8.43.85.13,30900,oscp-router01.gnome.org,35.77521133,-78.63432312
Desktop (server),91.189.92.38,100684,api.snapcraft.io,51.45777893,-0.085560001
Desktop (server),91.189.92.41,66500,api.snapcraft.io,51.45777893,-0.085560001
Echo Look,104.236.52.16,90,ranger.innolan.net,40.75891113,-73.97901917
Echo plus 2nd gen,162.159.200.1,90,time.cloudflare.com,52.30905151,4.940189838
Desktop (server),91.189.95.15,5950,rubay.canonical.com,51.45777893,-0.085560001
Motog Phone,204.85.32.27,151495,akamaitechnologies.com,35.91374969,-78.86332703
Nestcam,47.190.36.235,450,titan.crash-override.org,33.03276825,-96.5891037
Ring Door bell,37.193.156.169,90,novotelecom.ru,55.03923035,82.9278183
Google onHub,37.193.156.169,90,novotelecom.ru,55.03923035,82.9278183
Ring Door bell,23.131.160.7,90,time.nullroutenetworks.com,47.75529861,-122.2959137
Google onHub,23.131.160.7,90,time.nullroutenetworks.com,47.75529861,-122.2959137
Motog Phone,34.218.177.200,717490,compute.amazonaws.net,45.73722839,-119.8114319
Motog Phone,52.14.82.58,304591,compute.amazonaws.net,39.99557877,-82.99945831
Motog Phone,54.171.250.15,11857,compute.amazonaws.net,53.35388947,-6.243330002
Motog Phone,15.164.15.161,13904,compute.amazonaws.net,37.47354889,126.6203613
Echo plus 2nd gen,72.30.35.88,90,yahoo.com,40.73139191,-73.98840332
Echo plus 2nd gen,8.8.8.8,243,dns.google,37.38801956,-122.0743103
Motog Phone,35.156.43.152,28249,compute.amazonaws.net,50.11090088,8.682100296
LG smart TV,54.69.144.245,1274152,compute.amazonaws.net,45.73722839,-119.8114319
LG smart TV,23.32.72.82,35309,akamaitechnologies.com,39.04370117,-77.47419739
LG smart TV,3.224.10.144,6543487,compute.amazonaws.net,39.04370117,-77.47419739
LG smart TV,23.221.200.105,92810,akamaitechnologies.com,40.75891113,-73.97901917
LG smart TV,8.8.8.8,25697,dns.google,37.38801956,-122.0743103
LG smart TV,13.249.43.59,2470695,r.cloudfront.net,38.9068985,-77.02839661
LG smart TV,172.217.164.173,4510797,1e100.net,38.98371887,-77.38275909
Desktop (server),204.85.32.26,13589,akamaitechnologies.com,35.91374969,-78.86332703
Desktop (server),35.169.67.87,1068552,compute.amazonaws.net,39.04370117,-77.47419739
Desktop (server),52.39.78.187,1033772,compute.amazonaws.net,45.73722839,-119.8114319
Desktop (server),184.26.48.140,272937,akamaitechnologies.com,39.04370117,-77.47419739
Desktop (server),34.98.75.36,110164,bc.googleusercontent.com,39.10771179,-94.53961182
LG smart TV,23.193.32.230,289630,akamaitechnologies.com,38.74621964,-77.48911285
Google onHub,23.193.32.230,289048,akamaitechnologies.com,38.74621964,-77.48911285
LG smart TV,31.13.66.35,9935,facebook.com,38.98371887,-77.38275909
Google onHub,31.13.66.35,7703,facebook.com,38.98371887,-77.38275909
Google onHub,23.62.24.37,34145,akamaitechnologies.com,39.04370117,-77.47419739
Desktop (server),23.221.203.195,657801,akamaitechnologies.com,40.75891113,-73.97901917
Motog Phone,158.69.52.117,7341,prd-usage-3.tjsint.net,45.50207901,-73.56201172
Echo Look,52.217.42.244,64502680,amazonaws.com,39.04370117,-77.47419739
Motog Phone,23.227.38.64,6142,shops.myshopify.com,45.44422913,-75.69277954
Motog Phone,172.217.161.195,7438,1e100.net,34.6709404,135.5075073
Google onHub,99.86.230.48,2459933,r.cloudfront.net,38.9068985,-77.02839661
LG smart TV,204.85.32.32,13189,akamaitechnologies.com,35.91374969,-78.86332703
Google onHub,204.85.32.32,13201,akamaitechnologies.com,35.91374969,-78.86332703
Google onHub,23.54.179.184,25593,akamaitechnologies.com,40.75891113,-73.97901917
LG smart TV,94.237.48.90,2018,upcloud.host,51.45777893,-0.085560001
Google onHub,94.237.48.90,2018,upcloud.host,51.45777893,-0.085560001
LG smart TV,204.79.197.200,2505,a-msedge.net,47.68050003,-122.1209412
Google onHub,204.79.197.200,2601,a-msedge.net,47.68050003,-122.1209412
LG smart TV,34.107.156.205,44322,bc.googleusercontent.com,39.10771179,-94.53961182
Google onHub,34.107.156.205,44322,bc.googleusercontent.com,39.10771179,-94.53961182
LG smart TV,50.31.142.63,1457,chi.outbrain.com,41.87712097,-87.62473297
Google onHub,50.31.142.63,1457,chi.outbrain.com,41.87712097,-87.62473297
LG smart TV,64.74.236.31,19256,chi.outbrain.com,41.87446976,-87.65006256
Google onHub,64.74.236.31,17342,chi.outbrain.com,41.87446976,-87.65006256
LG smart TV,68.67.179.133,7593,adnexus.net,40.73862839,-73.98294067
